datetime,open,high,low,close,tick_volume,volume,spread
2020-09-10 00:00:00,106.191,106.299,106.003,106.055,16606,0,3
2020-09-10 12:00:00,106.055,106.234,105.978,106.127,22932,0,2
2020-09-11 00:00:00,106.138,106.261,106.074,106.231,16814,0,3
2020-09-11 12:00:00,106.231,106.249,106.056,106.144,15162,0,3
2020-09-14 00:00:00,106.097,106.164,105.908,105.995,13058,0,3
2020-09-14 12:00:00,105.996,106.047,105.546,105.724,15987,0,2
2020-09-15 00:00:00,105.723,105.792,105.602,105.789,13837,0,2
2020-09-15 12:00:00,105.789,105.812,105.299,105.439,18538,0,3
2020-09-16 00:00:00,105.436,105.436,105.16,105.192,13811,0,3
2020-09-16 12:00:00,105.192,105.219,104.799,104.945,29377,0,3
2020-09-17 00:00:00,104.945,105.171,104.688,104.738,22175,0,3
2020-09-17 12:00:00,104.738,104.841,104.523,104.738,20523,0,2
2020-09-18 00:00:00,104.737,104.869,104.406,104.473,15229,0,2
2020-09-18 12:00:00,104.476,104.634,104.27,104.561,17917,0,3
2020-09-21 00:00:00,104.507,104.571,103.999,104.117,15622,0,3
2020-09-21 12:00:00,104.12,104.887,104.004,104.641,24832,0,3
2020-09-22 00:00:00,104.638,104.75,104.46,104.55,13529,0,2
2020-09-22 12:00:00,104.55,105.078,104.403,104.923,20858,0,0
2020-09-23 00:00:00,104.926,105.197,104.859,105.077,18836,0,0
2020-09-23 12:00:00,105.077,105.494,104.928,105.383,24128,0,0
2020-09-24 00:00:00,105.394,105.476,105.204,105.345,20735,0,0
2020-09-24 12:00:00,105.345,105.529,105.301,105.413,24970,0,0
2020-09-25 00:00:00,105.412,105.544,105.24,105.437,17452,0,0
2020-09-25 12:00:00,105.437,105.698,105.388,105.548,21111,0,0
2020-09-28 00:00:00,105.488,105.681,105.263,105.332,17029,0,0
2020-09-28 12:00:00,105.332,105.665,105.288,105.479,19826,0,0
2020-09-29 00:00:00,105.479,105.733,105.343,105.675,17457,0,0
2020-09-29 12:00:00,105.675,105.705,105.529,105.648,24290,0,0
2020-09-30 00:00:00,105.647,105.803,105.434,105.657,19526,0,0
2020-09-30 12:00:00,105.657,105.746,105.402,105.445,32401,0,0
2020-10-01 00:00:00,105.519,105.603,105.403,105.591,17167,0,0
2020-10-01 12:00:00,105.591,105.727,105.443,105.519,32266,0,0
2020-10-02 00:00:00,105.519,105.665,104.941,105.203,28932,0,0
2020-10-02 12:00:00,105.201,105.395,105.064,105.328,28449,0,0
2020-10-05 00:00:00,105.263,105.679,105.263,105.638,20079,0,0
2020-10-05 12:00:00,105.637,105.792,105.537,105.745,21387,0,0
2020-10-06 00:00:00,105.75,105.786,105.518,105.538,16531,0,0
2020-10-06 12:00:00,105.538,105.706,105.47,105.627,25414,0,0
2020-10-07 00:00:00,105.625,105.991,105.595,105.988,17915,0,0
2020-10-07 12:00:00,105.988,106.106,105.852,105.975,23271,0,0
2020-10-08 00:00:00,105.965,106.107,105.924,105.977,19204,0,0
2020-10-08 12:00:00,105.977,106.045,105.937,106.022,17131,0,0
2020-10-09 00:00:00,106.022,106.04,105.808,105.862,20243,0,0
2020-10-09 12:00:00,105.861,105.951,105.579,105.625,22524,0,0
2020-10-12 00:00:00,105.77,105.788,105.432,105.601,20044,0,0
2020-10-12 12:00:00,105.601,105.604,105.241,105.34,17719,0,0
2020-10-13 00:00:00,105.34,105.498,105.265,105.433,19781,0,0
2020-10-13 12:00:00,105.433,105.627,105.417,105.472,19674,0,0
2020-10-14 00:00:00,105.47,105.517,105.304,105.368,17128,0,0
2020-10-14 12:00:00,105.368,105.473,105.035,105.166,20964,0,0
2020-10-15 00:00:00,105.164,105.321,105.082,105.301,20734,0,0
2020-10-15 12:00:00,105.301,105.492,105.178,105.422,22005,0,0
2020-10-16 00:00:00,105.422,105.462,105.189,105.225,17773,0,0
2020-10-16 12:00:00,105.225,105.44,105.198,105.398,21038,0,0
2020-10-19 00:00:00,105.372,105.502,105.335,105.339,15836,0,0
2020-10-19 12:00:00,105.339,105.491,105.301,105.436,16631,0,0
2020-10-20 00:00:00,105.428,105.616,105.345,105.528,21178,0,0
2020-10-20 12:00:00,105.528,105.746,105.418,105.493,19418,0,0
2020-10-21 00:00:00,105.495,105.533,104.874,104.943,27492,0,0
2020-10-21 12:00:00,104.943,104.957,104.34,104.58,20916,0,0
2020-10-22 00:00:00,104.588,104.752,104.476,104.677,16778,0,0
2020-10-22 12:00:00,104.677,104.921,104.56,104.861,17554,0,0
2020-10-23 00:00:00,104.855,104.936,104.552,104.616,15414,0,0
2020-10-23 12:00:00,104.616,104.883,104.546,104.71,13842,0,0
2020-10-26 00:00:00,104.667,104.974,104.653,104.872,17752,0,0
2020-10-26 12:00:00,104.872,105.055,104.822,104.835,14895,0,0
2020-10-27 00:00:00,104.835,104.889,104.589,104.606,13003,0,0
2020-10-27 12:00:00,104.606,104.686,104.388,104.46,13444,0,0
2020-10-28 00:00:00,104.46,104.555,104.16,104.211,17040,0,0
2020-10-28 12:00:00,104.211,104.452,104.113,104.301,20241,0,0
2020-10-29 00:00:00,104.298,104.502,104.104,104.121,15337,0,0
2020-10-29 12:00:00,104.121,104.726,104.023,104.598,21243,0,0
2020-10-30 00:00:00,104.598,104.628,104.124,104.43,18625,0,0
2020-10-30 12:00:00,104.428,104.742,104.378,104.667,20014,0,0
2020-11-02 00:00:00,104.488,104.947,104.486,104.803,16035,0,0
2020-11-02 12:00:00,104.803,104.87,104.629,104.728,14440,0,0
2020-11-03 00:00:00,104.73,104.845,104.475,104.704,14336,0,0
2020-11-03 12:00:00,104.703,104.8,104.432,104.453,29839,0,0
2020-11-04 00:00:00,104.453,105.344,104.362,104.884,48005,0,0
2020-11-04 12:00:00,104.884,104.905,104.15,104.521,32864,0,0
2020-11-05 00:00:00,104.522,104.535,104.199,104.244,24732,0,0
2020-11-05 12:00:00,104.244,104.384,103.44,103.464,41727,0,1
2020-11-06 00:00:00,103.465,103.762,103.358,103.381,30592,0,1
2020-11-06 12:00:00,103.381,103.717,103.175,103.367,35533,0,1
2020-11-09 00:00:00,103.296,103.754,103.182,103.725,26627,0,1
2020-11-09 12:00:00,103.725,105.647,103.646,105.356,55064,0,0
2020-11-10 00:00:00,105.364,105.364,104.82,105.319,35748,0,1
2020-11-10 12:00:00,105.32,105.487,105.155,105.295,32903,0,0
2020-11-11 00:00:00,105.281,105.54,105.004,105.438,23402,0,1
2020-11-11 12:00:00,105.438,105.676,105.369,105.427,22705,0,1
2020-11-12 00:00:00,105.426,105.476,105.149,105.388,21783,0,0
2020-11-12 12:00:00,105.388,105.388,105.07,105.129,20957,0,0
2020-11-13 00:00:00,105.121,105.159,104.856,105.021,23651,0,1
2020-11-13 12:00:00,105.02,105.075,104.564,104.612,20437,0,1
2020-11-16 00:00:00,104.716,104.719,104.362,104.542,16673,0,1
2020-11-16 12:00:00,104.543,105.132,104.497,104.572,28163,0,1
2020-11-17 00:00:00,104.572,104.599,104.234,104.293,22019,0,0
2020-11-17 12:00:00,104.293,104.376,104.07,104.191,20373,0,0
2020-11-18 00:00:00,104.205,104.205,103.843,103.852,18742,0,1
2020-11-18 12:00:00,103.852,104.1,103.651,103.825,20482,0,1
2020-11-19 00:00:00,103.827,104.076,103.717,104.054,22774,0,1
2020-11-19 12:00:00,104.056,104.215,103.732,103.74,21568,0,1
2020-11-20 00:00:00,103.736,103.91,103.687,103.798,22073,0,1
2020-11-20 12:00:00,103.798,103.861,103.701,103.827,14921,0,1
2020-11-23 00:00:00,103.746,103.86,103.716,103.792,15341,0,1
2020-11-23 12:00:00,103.792,104.635,103.683,104.497,25104,0,1
2020-11-24 00:00:00,104.496,104.645,104.146,104.211,22761,0,1
2020-11-24 12:00:00,104.212,104.76,104.192,104.446,22738,0,1
2020-11-25 00:00:00,104.439,104.598,104.345,104.347,25524,0,1
2020-11-25 12:00:00,104.349,104.519,104.253,104.461,20686,0,1
2020-11-26 00:00:00,104.453,104.464,104.221,104.264,23087,0,1
2020-11-26 12:00:00,104.264,104.319,104.216,104.256,25338,0,1
2020-11-27 00:00:00,104.266,104.281,103.905,104.035,16366,0,1
2020-11-27 12:00:00,104.035,104.212,103.966,104.09,17143,0,1
2020-11-30 00:00:00,103.995,104.348,103.827,104.033,17652,0,1
2020-11-30 12:00:00,104.033,104.41,103.908,104.315,24978,0,0
2020-12-01 00:00:00,104.306,104.462,104.182,104.28,18887,0,1
2020-12-01 12:00:00,104.28,104.579,104.274,104.314,25291,0,1
2020-12-02 00:00:00,104.312,104.703,104.225,104.693,26247,0,1
2020-12-02 12:00:00,104.693,104.751,104.398,104.408,38680,0,0
2020-12-03 00:00:00,104.414,104.536,104.23,104.275,39168,0,1
2020-12-03 12:00:00,104.276,104.342,103.672,103.834,39269,0,0
2020-12-04 00:00:00,103.832,104.046,103.738,103.957,27004,0,0
2020-12-04 12:00:00,103.957,104.243,103.824,104.188,39891,0,0
2020-12-07 00:00:00,104.116,104.311,103.94,104.288,28079,0,0
2020-12-07 12:00:00,104.289,104.312,103.92,104.045,37995,0,0
2020-12-08 00:00:00,104.064,104.143,103.954,104.003,25937,0,1
2020-12-08 12:00:00,104.003,104.205,103.966,104.161,36574,0,0
2020-12-09 00:00:00,104.161,104.25,104.062,104.09,23719,0,1
2020-12-09 12:00:00,104.09,104.406,104.053,104.225,35226,0,0
2020-12-10 00:00:00,104.211,104.579,104.176,104.461,30011,0,0
2020-12-10 12:00:00,104.46,104.564,104.173,104.246,41820,0,0
2020-12-11 00:00:00,104.245,104.267,103.927,104.029,28982,0,0
2020-12-11 12:00:00,104.031,104.154,103.823,104.025,35088,0,0
2020-12-14 00:00:00,103.958,104.062,103.75,103.754,28811,0,0
2020-12-14 12:00:00,103.754,104.103,103.512,104.032,34710,0,0
2020-12-15 00:00:00,104.047,104.152,103.982,104.042,23178,0,0
2020-12-15 12:00:00,104.042,104.064,103.608,103.668,28682,0,0
2020-12-16 00:00:00,103.674,103.723,103.281,103.291,29709,0,1
2020-12-16 12:00:00,103.29,103.918,103.261,103.465,39374,0,0
2020-12-17 00:00:00,103.468,103.561,103.072,103.073,33087,0,0
2020-12-17 12:00:00,103.074,103.177,102.875,103.092,36913,0,0
2020-12-18 00:00:00,103.083,103.596,103.037,103.55,32365,0,1
2020-12-18 12:00:00,103.55,103.567,103.194,103.313,31080,0,1
2020-12-21 00:00:00,103.535,103.739,103.251,103.738,39506,0,0
2020-12-21 12:00:00,103.737,103.889,103.282,103.319,51801,0,0
2020-12-22 00:00:00,103.326,103.479,103.279,103.398,29929,0,0
2020-12-22 12:00:00,103.397,103.734,103.317,103.64,38389,0,0
2020-12-23 00:00:00,103.634,103.643,103.357,103.447,25482,0,0
2020-12-23 12:00:00,103.447,103.653,103.385,103.545,38029,0,0
2020-12-24 00:00:00,103.537,103.679,103.487,103.655,22420,0,0
2020-12-24 12:00:00,103.654,103.765,103.608,103.671,17628,0,0
2020-12-28 00:00:00,103.497,103.636,103.403,103.458,20488,0,0
2020-12-28 12:00:00,103.458,103.898,103.447,103.778,30744,0,0
2020-12-29 00:00:00,103.788,103.815,103.6,103.67,24476,0,0
2020-12-29 12:00:00,103.67,103.757,103.463,103.568,28311,0,0
2020-12-30 00:00:00,103.571,103.586,103.204,103.233,25056,0,0
2020-12-30 12:00:00,103.233,103.355,102.961,103.182,30080,0,0
